overall_rank,country_or_region,score,gdp_per_capita,healthy_life_expectancy,total_cases,total_deaths,total_recovered,total_tests,population
1,Finland,7.77,1.34,0.99,6493,306,4800,160177,5539799
2,Denmark,7.6,1.38,1.0,11182,561,9643,504266,5789998
3,Norway,7.55,1.49,1.03,8309,235,32,223045,5416564
4,Iceland,7.49,1.38,1.03,1803,10,1790,58225,341000
5,Netherlands,7.49,1.4,1.0,44700,5775,3459,302395,17130802
6,Switzerland,7.48,1.45,1.05,30694,1898,27900,361692,8647657
7,Sweden,7.34,1.39,1.01,32172,3871,4971,209900,10092371
8,New Zealand,7.31,1.3,1.03,1504,21,1455,250246,4817906
9,Canada,7.28,1.36,1.04,81324,6152,41715,1379731,37705478
10,Austria,7.25,1.38,1.02,16404,633,14951,390488,9000787
11,Australia,7.23,1.37,1.04,7095,101,6478,1167973,25466640
12,Costa Rica,7.17,1.03,0.96,903,10,592,21929,5088953
13,Israel,7.14,1.28,1.03,16690,279,13915,531124,8640028
14,Luxembourg,7.09,1.61,1.01,3980,109,3741,64981,624808
15,United Kingdom,7.05,1.33,1.0,250908,36042,1918,3090566,67847158
16,Ireland,7.02,1.5,1.0,24391,1583,21060,295626,4931601
17,Germany,6.98,1.37,0.99,179021,8309,159000,3595059,83755045
18,Belgium,6.92,1.36,0.99,56235,9186,14988,739146,11584152
19,United States,6.89,1.43,0.87,1621196,96359,382244,13479242,330790544
21,United Arab Emirates,6.82,1.5,0.82,26898,237,12755,1600923,9876944
22,Malta,6.73,1.3,1.0,599,6,468,56224,441416
23,Mexico,6.6,1.07,0.86,59567,6510,40657,201838,128781349
24,France,6.59,1.32,1.04,181826,28215,63858,1384633,65258007
25,Taiwan,6.45,1.37,0.91,441,7,408,70338,23812157
26,Chile,6.44,1.16,0.92,57581,589,23992,426003,19098031
27,Guatemala,6.44,0.8,0.75,2512,48,222,25464,17877078
28,Saudi Arabia,6.38,1.4,0.8,65077,351,36040,651158,34751777
29,Qatar,6.37,1.68,0.87,38651,17,7288,175482,2875446
30,Spain,6.35,1.29,1.06,280117,27940,196958,3037840,46752851
